idioma,tipo,tipodeusaurio,pagina,id_pregunta,version,id,name,pregunta,valor
ESP,radio,2,1,,0,1,Pregunta1-1,Por favor seleccione cuál es su rol en o para con la empresa en la cual trabaja,999
ESP,radio,2,1,,0,1,Pregunta1-1,Director/Gerente General,1
ESP,radio,2,1,,0,1,Pregunta1-1,Gerente Funcion,2
ESP,radio,2,1,,0,2,Pregunta1-2,Por favor indique cuál es el área de trabajo en que se desempeña,999
ESP,radio,2,1,,0,2,Pregunta1-2,Ventas / Comercial,1
ESP,radio,2,1,,0,2,Pregunta1-2,Marketing,2
ESP,radio,2,1,,0,2,Pregunta1-2,Producción / Operaciones / Logística,3
ESP,radio,2,1,,0,2,Pregunta1-2,Sistemas,4
ESP,radio,2,1,,0,2,Pregunta1-2,Contabilidad / Finanzas / Legal,5
ESP,radio,2,1,,0,2,Pregunta1-2,RRHH,6
ESP,radio,2,1,,0,2,Pregunta1-2,Innovación / Desarrollo,7
ESP,radio,2,1,,0,2,Pregunta1-2,Dirección,8
ESP,radio,2,1,,3,2,Pregunta1-2,Otros,9
ESP,radio,2,1,,0,3,Pregunta1-3,Por favor indique la industria en que compite su empresa,999
ESP,radio,2,1,,0,3,Pregunta1-3,Retail,1
ESP,radio,2,1,,0,3,Pregunta1-3,Consumo masivo,2
ESP,radio,2,1,,0,3,Pregunta1-3,Telecomunicaciones / Tecnologia,3
ESP,radio,2,1,,0,3,Pregunta1-3,Manufactura industrial,4
ESP,radio,2,1,,0,3,Pregunta1-3,Servicios financieros,5
ESP,radio,2,1,,0,3,Pregunta1-3,Servicios educacionales,6
ESP,radio,2,1,,0,3,Pregunta1-3,"Servicios eléctricos, sanitarios",7
ESP,radio,2,1,,0,3,Pregunta1-3,Servicios públicos,8
ESP,radio,2,1,,0,3,Pregunta1-3,Agricultura,9
ESP,radio,2,1,,0,3,Pregunta1-3,Minería,10
ESP,radio,2,1,,0,3,Pregunta1-3,Automotriz,11
ESP,radio,2,1,,1,3,Pregunta1-3,Salud / Otro,12
ESP,radio,2,1,,2,3,Pregunta1-3,Salud,12
ESP,radio,2,1,,2,3,Pregunta1-3,Otra industria,13
ESP,radio,2,1,,3,3,Pregunta1-3,Salud,12
ESP,radio,2,1,,3,3,Pregunta1-3,Otra industria,13
ESP,radio,2,1,,0,4,Pregunta1-4,Por favor cuál es su antigüedad en la empresa,999
ESP,radio,2,1,,0,4,Pregunta1-4,Menos de 2 años,1
ESP,radio,2,1,,0,4,Pregunta1-4,De 2 a 5 años,2
ESP,radio,2,1,,0,4,Pregunta1-4,Más de 5 años,3
ESP,check,2,2,,0,1,Pregunta2-1,1.- ¿Cuáles de las siguientes innovaciones ha realizado su empresa en los últimos tres años? <br/> (Puede marcar más de una opción),999
ESP,check,2,2,Pregunta2-1-1,0,1,Pregunta2-1,Soluciones (Productos y Servicios),1
ESP,check,2,2,Pregunta2-1-2,0,1,Pregunta2-1,"Canales de comercialización, atención clientes",1
ESP,check,2,2,Pregunta2-1-3,0,1,Pregunta2-1,Proceso productivo / cadena de suministro,1
ESP,check,2,2,Pregunta2-1-4,0,1,Pregunta2-1,Estructura y capacidad organizacional,1
ESP,check,2,2,Pregunta2-1-5,0,1,Pregunta2-1,"Nuevos mercados, segmentos objetivos, Marketing",1
ESP,check,2,2,Pregunta2-1-6,0,1,Pregunta2-1,Utilización de nuevas Tecnologías,1
ESP,check,2,2,Pregunta2-1-7,1,1,Pregunta2-1,Otro,1
ESP,check,2,2,Pregunta2-1-7,2,1,Pregunta2-1,Sostenibilidad,1
ESP,check,2,2,Pregunta2-1-8,2,1,Pregunta2-1,Otro,1
ESP,check,2,2,Pregunta2-1-7,3,1,Pregunta2-1,Sostenibilidad,1
ESP,check,2,2,Pregunta2-1-8,3,1,Pregunta2-1,Otro,1
ESP,check,2,2,,0,2,Pregunta2-2,2.- ¿Dónde cree usted que ha impactado positivamente la innovación en su empresa en los últimos tres años? </br> (Puede marcar más de una opción),999
ESP,check,2,2,Pregunta2-2-1,0,2,Pregunta2-2, Ingresos,1
ESP,check,2,2,Pregunta2-2-2,0,2,Pregunta2-2,Satisfacción del Cliente,1
ESP,check,2,2,Pregunta2-2-3,0,2,Pregunta2-2,Reducción de costos,1
ESP,check,2,2,Pregunta2-2-4,0,2,Pregunta2-2,Reducción de gastos,1
ESP,check,2,2,Pregunta2-2-5,0,2,Pregunta2-2,Rentabilidad,1
ESP,check,2,2,Pregunta2-2-6,0,2,Pregunta2-2,Modelo de negocio,1
ESP,check,2,2,Pregunta2-2-7,1,2,Pregunta2-2,Otro,1
ESP,check,2,2,Pregunta2-2-7,2,2,Pregunta2-2,Cuidado medio ambiente,1
ESP,check,2,2,Pregunta2-2-8,2,2,Pregunta2-2,Otro,1
ESP,check,2,2,Pregunta2-2-7,3,2,Pregunta2-2,Cuidado medio ambiente,1
ESP,check,2,2,Pregunta2-2-9,3,2,Pregunta2-2,Impacto en la sociedad,1
ESP,check,2,2,Pregunta2-2-8,3,2,Pregunta2-2,Otro,1
ESP,radio,2,2,,0,3,Pregunta2-3,3.- ¿Quién cree usted que es la persona que conduce con mayor fuerza la innovación en su empresa?,999
ESP,radio,2,2,,0,3,Pregunta2-3, Director o equivalente,1
ESP,radio,2,2,,0,3,Pregunta2-3, Gerente General o equivalente,2
ESP,radio,2,2,,0,3,Pregunta2-3," Gerente Marketing, Comercial o equivalente",3
ESP,radio,2,2,,0,3,Pregunta2-3, Gerente Operaciones o equivalente,4
ESP,radio,2,2,,0,3,Pregunta2-3, Gerente Administración & Finanzas o equivalente,5
ESP,radio,2,2,,0,3,Pregunta2-3, Gerente Innovación o equivalente,6
ESP,radio,2,2,,1,3,Pregunta2-3,Otro,7
ESP,radio,2,2,,2,3,Pregunta2-3,Gerente Sostenibilidad o equivalente,7
ESP,radio,2,2,,2,3,Pregunta2-3,Otro,8
ESP,radio,2,2,,3,3,Pregunta2-3,Gerente Sostenibilidad o equivalente,7
ESP,radio,2,2,,3,3,Pregunta2-3,Otro,8
ESP,radio,2,2,,0,4,Pregunta2-4,4.- ¿Qué tan prioritaria es la innovación en su cargo o rol?,999
ESP,radio,2,2,,0,4,Pregunta2-4, Es mi prioridad uno,1
ESP,radio,2,2,,0,4,Pregunta2-4, Está entre mis prioridades principales,2
ESP,radio,2,2,,0,4,Pregunta2-4, Es medianamente o no es prioritaria,3
ESP,radio,2,2,,0,5,Pregunta2-5,5.- ¿Cuál de las siguientes alternativas representa mejor la conexión entre la estrategia de su empresa y la innovación?,999
ESP,radio,2,2,,0,5,Pregunta2-5, La innovación está integrada al plan estratégico de la empresa,1
ESP,radio,2,2,,0,5,Pregunta2-5, El plan estratégico y la innovación NO están formalmente conectados,2
ESP,radio,2,2,,0,5,Pregunta2-5, Tenemos un plan corporativo específico dedicado a la innovación,3
ESP,radio,2,3,,0,1,Pregunta3-1,1- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en los INGRESOS de su empresa en los últimos 3 años?,999
ESP,radio,2,3,,0,1,Pregunta3-1, Bajo la industria,1
ESP,radio,2,3,,0,1,Pregunta3-1, Al nivel de la industria,2
ESP,radio,2,3,,0,1,Pregunta3-1, Superior a la industria,3
ESP,radio,2,3,,0,1,Pregunta3-1, No Aplica,4
ESP,radio,2,3,,0,2,Pregunta3-2,2- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en la SATISFACCIÓN DEL CLIENTE de su empresa en los últimos 3 años?,999
ESP,radio,2,3,,0,2,Pregunta3-2, Bajo la industria,1
ESP,radio,2,3,,0,2,Pregunta3-2, Al nivel de la industria,2
ESP,radio,2,3,,0,2,Pregunta3-2, Superior a la industria,3
ESP,radio,2,3,,0,2,Pregunta3-2, No Aplica,4
ESP,radio,2,3,,0,3,Pregunta3-3,3- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en la REDUCCIÓN DE COSTOS Y GASTOS de su empresa en los últimos 3 años?,999
ESP,radio,2,3,,0,3,Pregunta3-3, Bajo la industria,1
ESP,radio,2,3,,0,3,Pregunta3-3, Al nivel de la industria,2
ESP,radio,2,3,,0,3,Pregunta3-3, Superior a la industria,3
ESP,radio,2,3,,0,3,Pregunta3-3, No Aplica,4
ESP,radio,2,3,,0,4,Pregunta3-4,4- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en la RENTABILIDAD de su empresa respecto en los últimos 3 años?,999
ESP,radio,2,3,,0,4,Pregunta3-4, Bajo la industria,1
ESP,radio,2,3,,0,4,Pregunta3-4, Al nivel de la industria,2
ESP,radio,2,3,,0,4,Pregunta3-4, Superior a la industria,3
ESP,radio,2,3,,0,4,Pregunta3-4, No Aplica,4
ESP,radio,2,3,,0,5,Pregunta3-5,5- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en el CAMBIO DE MODELO DE NEGOCIO de su empresa en los últimos 3 años?,999
ESP,radio,2,3,,0,5,Pregunta3-5, Bajo la industria,1
ESP,radio,2,3,,0,5,Pregunta3-5, Al nivel de la industria,2
ESP,radio,2,3,,0,5,Pregunta3-5, Superior a la industria,3
ESP,radio,2,3,,0,5,Pregunta3-5, No Aplica,4
ESP,radio,2,3,,2,6,Pregunta3-6,6- ¿Cuál <u>cree que ha sido</u> el impacto de la innovación en la SOSTENIBILIDAD de su empresa en los últimos 3 años?,999
ESP,radio,2,3,,2,6,Pregunta3-6, Bajo la industria,1
ESP,radio,2,3,,2,6,Pregunta3-6, Al nivel de la industria,2
